time,x1_original,x1_envelope,x1_triangle,x1_square,x2_original,x2_envelope,x2_triangle,x2_square,v1_original,v1_envelope,v1_triangle,v1_square,v2_original,v2_envelope,v2_triangle,v2_square,a1_original,a1_envelope,a1_triangle,a1_square,a2_original,a2_envelope,a2_triangle,a2_square
8.38,-0.009953223006082432,-0.005607335028301374,-0.0006160000000000228,-0.01,0.009177546256839798,0.004768571055602673,-0.0023999999999999755,0.01,0.0020030203969454985,0.0018900689905784196,-0.013199999999999233,0.0,-0.012474716711116163,-0.005962598668724339,0.020000000000000337,0.0,0.04278476126569988,0.02336850394604789,-2.220446049250313e-15,0.0,-0.09054895563417786,-0.04772593913967943,-7.915890165577366e-14,0.0
8.39,-0.009931053334107928,-0.005587265800907782,-0.0007480000000000123,-0.01,0.009048270524660187,0.004706558210563192,-0.0021999999999999876,0.01,0.0024304374557962416,0.0021230294826793394,-0.013200000000000368,0.0,-0.013374050747806177,-0.006437582583746854,0.019999999999999213,0.0,0.04268946307716773,0.023219125917928685,-5.651035195342047e-14,0.0,-0.0892734749981019,-0.04724846056361581,0.0,0.0
8.4,-0.009904614256966508,-0.005564874438647788,-0.0008800000000000244,-0.01,0.00891006524188368,0.004639819403927738,-0.0019999999999999996,0.01,0.0028568096584888347,0.0023544515089369833,-0.013200000000000364,0.0,-0.014260186211078163,-0.0069075678799966345,0.020000000000000337,0.0,0.042575812493518064,0.023060857656196296,5.67323965583455e-14,0.0,-0.08790989222031331,-0.04672637020848264,5.340172748447003e-14,0.0
8.41,-0.009873917140938153,-0.005540176770729043,-0.001012000000000014,-0.01,0.00876306680043863,0.004568406852963262,-0.0017999999999999893,0.01,0.003281953705666585,0.0025842466358032556,-0.013199999999999233,0.0,-0.015132248592212405,-0.007372109987916486,0.02000000000000028,0.0,0.04244385837373721,0.0228937944063428,-4.440892098500626e-16,0.0,-0.08645955299227581,-0.04615999731211001,-5.828670879282072e-14,0.0
8.42,-0.009838975182853179,-0.005513189505931724,-0.0011440000000000035,-0.01,0.008607420270039438,0.004492377204169412,-0.0016000000000000025,0.01,0.003705686825963561,0.0028123273970638296,-0.013200000000000371,0.0,-0.015989377270923644,-0.007830767826238816,0.01999999999999917,0.0,0.04229365744547556,0.022718034362376682,-5.617728504603292e-14,0.0,-0.08492388862393807,-0.04554971024673765,2.4424906541753444e-15,0.0
8.43,-0.009799803404418883,-0.005483930222787768,-0.0012760000000000158,-0.01,0.008443279255020164,0.004411791496438489,-0.0014000000000000145,0.01,0.004127826854576078,0.0030386073230507793,-0.013200000000000357,0.0,-0.01683072636469113,-0.00828310419285122,0.02000000000000033,0.0,0.042125274280752995,0.022533678612247005,5.728750807065808e-14,0.0,-0.0833044146305213,-0.04489591640748458,5.762057497804562e-14,0.0
8.44,-0.009756418645761659,-0.0054524173594707095,-0.0014080000000000052,-0.01,0.008270805742745623,0.004326715120312391,-0.0012000000000000044,0.01,0.004548192311578603,0.0032630009693087603,-0.013199999999999226,0.0,-0.017655465563534034,-0.008728686154388487,0.020000000000000323,0.0,0.04193878126834505,0.022340831082579476,1.6653345369377348e-15,0.0,-0.08160272923721124,-0.04419906206996849,-3.2862601528904634e-14,0.0
8.45,-0.009708839558187313,-0.005418670203401594,-0.0015399999999999947,-0.01,0.008090169943749491,0.0042372177733507235,-0.0010000000000000165,0.01,0.004966602479942961,0.0034854239447023594,-0.013200000000000323,0.0,-0.01846278094943532,-0.009167085434250571,0.01999999999999967,0.0,0.04173425858240984,0.022139598482386003,-5.484501741648273e-14,0.0,-0.07982051180223138,-0.043459632216298505,-3.2862601528904634e-14,0.0
8.46,-0.009657086596162791,-0.0053827088805766575,-0.0016720000000000296,-0.01,0.00790155012375689,0.004143373411627366,-0.0007999999999999841,0.01,0.0053828774832268556,0.003705792938956509,-0.013200000000000323,0.0,-0.019251875799578766,-0.009597878798714515,0.019999999999999667,0.0,0.04151179414815237,0.02193009024653708,-1.9984014443252818e-15,0.0,-0.0779595211590185,-0.042678150328879894,3.3084646133829665e-14,0.0
8.47,-0.009601182008522769,-0.005344554344622459,-0.001804000000000019,-0.01,0.007705132427757891,0.004045260197376421,-0.0005999999999999962,0.01,0.005796838362906065,0.003924025749633131,-0.013200000000000364,0.0,-0.0200219713726158,-0.010020648440828228,0.020000000000000333,0.0,0.04127148360408095,0.021712418478556567,-1.9984014443252818e-15,0.0,-0.07602159388052254,-0.04185517815264256,3.064215547965432e-14,0.0
