x1_original,x1_drifted,x1_amplitude_scaled,x1_lowfreq,x2_original,x2_drifted,x2_amplitude_scaled,x2_lowfreq,v1_original,v1_drifted,v1_amplitude_scaled,v1_lowfreq,v2_original,v2_drifted,v2_amplitude_scaled,v2_lowfreq,a1_original,a1_drifted,a1_amplitude_scaled,a1_lowfreq,a2_original,a2_drifted,a2_amplitude_scaled,a2_lowfreq
-0.0046598087,0.0026242598,-0.007012283,-0.0005034362,0.0038037898,0.011081884,0.005717175,0.0009261349,0.0077798637,0.01497332,0.011589418,-0.030756338,-0.0062423614,0.0010449658,-0.009370812,0.018677155,0.13140455,0.13905555,0.1979697,0.019948296,-0.08498806,-0.07758733,-0.12733819,-0.01502382
-0.00458734,0.0026867273,-0.0069074165,-0.00068655016,0.0037433447,0.011010528,0.0056201136,0.0010433937,0.009371453,0.016569927,0.01396355,-0.030677907,-0.0072972975,5.4077245e-06,-0.010936101,0.018598164,0.12936753,0.13697878,0.19495156,0.024871524,-0.0835436,-0.07623306,-0.12527397,-0.018071493
-0.004488976,0.0027746293,-0.0067582745,-0.00086262485,0.0036685748,0.010922067,0.005495178,0.0011563209,0.010870271,0.018110871,0.016199043,-0.030510183,-0.008304006,-0.0009848946,-0.0124183195,0.018475102,0.12663786,0.13416633,0.19084576,0.029749611,-0.08168836,-0.07445209,-0.12260131,-0.020969035
-0.0044472245,0.0028087972,-0.0066926456,-0.0010330625,0.0036387946,0.0108874645,0.005452727,0.0012660035,0.011943837,0.0192241,0.017845234,-0.030666338,-0.009045294,-0.0017258474,-0.013502833,0.018582743,0.12552342,0.13298482,0.18906564,0.0344308,-0.08088902,-0.073758,-0.121590264,-0.023766978
-0.0043730587,0.002880047,-0.0065762773,-0.001251232,0.0035733588,0.010819388,0.0053531136,0.001407434,0.013585233,0.020888641,0.02032696,-0.030565824,-0.010155243,-0.0028250949,-0.015143086,0.018484222,0.12334337,0.13068864,0.18573691,0.040407356,-0.07940459,-0.072332814,-0.119508155,-0.027385723
-0.0042406493,0.003008095,-0.006375671,-0.0014079183,0.0034654913,0.010710182,0.00519376,0.0015083886,0.014763423,0.022055134,0.022094127,-0.03034035,-0.010949256,-0.003613668,-0.016314471,0.018297546,0.11961664,0.1268518,0.18000486,0.044564705,-0.07702082,-0.06991079,-0.11589289,-0.029923202
-0.0040857024,0.0031586355,-0.006140009,-0.0015683889,0.0033456439,0.010584877,0.0050124633,0.0016148668,0.015988614,0.023287844,0.023937942,-0.030094698,-0.011775586,-0.004443171,-0.01755001,0.018099394,0.115265846,0.12246355,0.17340681,0.04881117,-0.0742729,-0.067105114,-0.11169681,-0.032533165
-0.00391778,0.0033207303,-0.0058842725,-0.0017237357,0.0032185195,0.010452863,0.0048192767,0.0017187352,0.017191403,0.024514215,0.025735278,-0.029827926,-0.01257895,-0.0052608834,-0.0187645,0.017894052,0.110552564,0.11773633,0.16633317,0.052927405,-0.07129247,-0.064124025,-0.10717253,-0.03505491
-0.003745897,0.0034848088,-0.005625765,-0.0018731862,0.0030884603,0.010322419,0.0046224836,0.0018170583,0.018256444,0.025600132,0.027333798,-0.029571818,-0.013287018,-0.005989215,-0.019849531,0.017703831,0.10577208,0.11298012,0.15908876,0.05680342,-0.068254724,-0.061140075,-0.102578655,-0.037454687
-0.00351693,0.0037071726,-0.005287483,-0.0020459457,0.0029145821,0.010154958,0.0043670367,0.0019251881,0.01933348,0.026685368,0.028965237,-0.029210187,-0.014010219,-0.006716845,-0.020932047,0.017431473,0.09947301,0.10674818,0.14955781,0.0612985,-0.06427776,-0.057167858,-0.096569985,-0.040238358
-0.0033209838,0.0038997058,-0.0049992003,-0.0022002964,0.0027601575,0.010003868,0.00414857,0.0020195157,0.020266496,0.027601982,0.030368516,-0.028931888,-0.014645236,-0.0073482,-0.02186723,0.017217573,0.09407322,0.10147338,0.14145175,0.06522548,-0.06088353,-0.053757235,-0.091370694,-0.042702097
-0.0030971125,0.0041153887,-0.0046606795,-0.002359813,0.0025899361,0.009828685,0.0038975081,0.0021205733,0.021274894,0.02859742,0.031897802,-0.02861504,-0.015332443,-0.008028727,-0.022884013,0.016979013,0.08797263,0.09532999,0.13223736,0.06938362,-0.057009224,-0.049832135,-0.08544076,-0.045301635
