dataset,window_index,overall_mse,per_channel_mse,worst_channel_idx,avg_corr_worst_channel,num_high_error_channels,predicted_fault,mu_latent
Normal,20,0.08100114017724991,"[0.023277565836906433, 0.012346281670033932, 0.07765722274780273, 0.019225679337978363, 0.050822705030441284, 0.06285080313682556, 0.11360317468643188, 0.08974014222621918, 0.04471513628959656, 0.06524451076984406, 0.2982897460460663, 0.11424067616462708]",10,0.3989913875109692,1,Ambiguous_Moderate_Error,"[-0.0670330822467804, 0.05500312149524689, -0.0407063364982605, -0.3072618246078491, -0.007303688675165176, 0.18346664309501648, 0.027556482702493668, -0.014229211956262589, 0.02761433646082878, 1.1345704793930054, -0.06377711892127991, -0.13973498344421387, 0.00846339762210846, -2.327134609222412, 0.005893770605325699, -0.013715647161006927]"
Normal,21,0.06560732424259186,"[0.017067736014723778, 0.010432346723973751, 0.06889566034078598, 0.011624310165643692, 0.04392022266983986, 0.07164691388607025, 0.05436379462480545, 0.06246669590473175, 0.04387979209423065, 0.0687972828745842, 0.2420855015516281, 0.09210763871669769]",10,0.37833639595702206,1,Ambiguous_Moderate_Error,"[-0.0849185436964035, 0.048815056681632996, -0.04802911728620529, -0.34674984216690063, -0.005166921764612198, 0.17650693655014038, 0.028072867542505264, -0.023276377469301224, 0.018625538796186447, 1.2243707180023193, -0.050773803144693375, -0.00956004299223423, 0.004103854298591614, -2.262294292449951, -0.0008320920169353485, -0.015418827533721924]"
Normal,22,0.12140783667564392,"[0.07616885006427765, 0.04881930723786354, 0.08282218128442764, 0.0262555330991745, 0.09478643536567688, 0.11309207230806351, 0.147688090801239, 0.08862560987472534, 0.12473054230213165, 0.12949778139591217, 0.35678350925445557, 0.16762417554855347]",10,0.3575534618474731,1,Ambiguous_Moderate_Error,"[-0.10258682072162628, 0.039911165833473206, -0.05173970013856888, -0.3782370090484619, -0.0010129548609256744, 0.1703934371471405, 0.02885403111577034, -0.03516815975308418, 0.009859699755907059, 1.3101063966751099, -0.04067746177315712, 0.13231879472732544, 0.003773525357246399, -2.1970558166503906, -0.003687039017677307, -0.013938724994659424]"
Normal,23,0.45878836512565613,"[0.3961150050163269, 0.15740294754505157, 0.2330818921327591, 0.04156307876110077, 0.6369849443435669, 0.5429825782775879, 0.37500324845314026, 0.12701962888240814, 0.9296724796295166, 0.8378689289093018, 0.9095938205718994, 0.31817156076431274]",8,0.4678975243309377,9,Structural Fault,"[-0.11836214363574982, 0.029110200703144073, -0.05155521631240845, -0.40197253227233887, 0.00533386692404747, 0.16571465134620667, 0.029375430196523666, -0.04813556745648384, 0.002300027757883072, 1.392056941986084, -0.03426818922162056, 0.28619253635406494, 0.007652148604393005, -2.1312289237976074, -0.002873700112104416, -0.009286284446716309]"
Normal,24,0.2515580654144287,"[0.208247110247612, 0.06635251641273499, 0.13596946001052856, 0.01801573485136032, 0.4131160378456116, 0.28170111775398254, 0.18655233085155487, 0.050720177590847015, 0.48058605194091797, 0.43129462003707886, 0.5417854189872742, 0.20435623824596405]",10,0.3532945515863032,7,Structural Fault,"[-0.13013850152492523, 0.017696499824523926, -0.04864215850830078, -0.4189609885215759, 0.01281249150633812, 0.16355907917022705, 0.028834376484155655, -0.06015123054385185, -0.0029595233500003815, 1.4699921607971191, -0.031792495399713516, 0.450493186712265, 0.015711531043052673, -2.063236713409424, 0.00030611827969551086, -0.001575574278831482]"
Normal,25,0.1251799762248993,"[0.08237984776496887, 0.03234289214015007, 0.09437388181686401, 0.010946718044579029, 0.18696936964988708, 0.15427172183990479, 0.07294841855764389, 0.02998245507478714, 0.21346792578697205, 0.17056085169315338, 0.3065281808376312, 0.14738726615905762]",10,0.34767237482234903,2,Ambiguous_Moderate_Error,"[-0.13535018265247345, 0.007016874849796295, -0.04535181075334549, -0.4296777844429016, 0.019378211349248886, 0.16548877954483032, 0.02648109570145607, -0.06908981502056122, -0.004840593785047531, 1.5425324440002441, -0.03273742273449898, 0.620396614074707, 0.027552351355552673, -1.9912110567092896, 0.0038683153688907623, 0.009169206023216248]"
Normal,26,0.08690756559371948,"[0.02948743663728237, 0.029737181961536407, 0.08210927993059158, 0.01769750751554966, 0.06989405304193497, 0.12482903152704239, 0.09624253958463669, 0.04218573868274689, 0.09651151299476624, 0.09317222237586975, 0.2401752471923828, 0.12084891647100449]",10,0.336586677534034,1,Ambiguous_Moderate_Error,"[-0.1321207880973816, -0.002483103424310684, -0.043663494288921356, -0.433054655790329, 0.023349579423666, 0.17230859398841858, 0.022214729338884354, -0.07363830506801605, -0.0030465833842754364, 1.6079778671264648, -0.03575565293431282, 0.7884458303451538, 0.041710808873176575, -1.9137563705444336, 0.006181489676237106, 0.022236943244934082]"
Normal,27,0.171290785074234,"[0.13153193891048431, 0.05645430088043213, 0.08825234323740005, 0.03668304532766342, 0.3078940510749817, 0.2267126888036728, 0.1462852507829666, 0.03608475998044014, 0.3051338791847229, 0.3116772472858429, 0.2694026827812195, 0.13937760889530182]",9,0.4258116770363184,5,Structural Fault,"[-0.12116442620754242, -0.011720828711986542, -0.043878600001335144, -0.42702358961105347, 0.02439844235777855, 0.1823263168334961, 0.016880754381418228, -0.07453553378582001, 0.001402284950017929, 1.6660594940185547, -0.03932986035943031, 0.9462108612060547, 0.05531616508960724, -1.8310222625732422, 0.006591226905584335, 0.03507264703512192]"
Normal,28,0.4144461154937744,"[0.38364288210868835, 0.14959119260311127, 0.17603671550750732, 0.031105434522032738, 0.7333207726478577, 0.5005925893783569, 0.35311535000801086, 0.07736703753471375, 0.8955532908439636, 0.7281908392906189, 0.647645890712738, 0.2971910238265991]",8,0.4547642902006005,8,Structural Fault,"[-0.10579633712768555, -0.02209322154521942, -0.04531329870223999, -0.4101784825325012, 0.02339508756995201, 0.1917046308517456, 0.011747214943170547, -0.07419650256633759, 0.006981629878282547, 1.718346118927002, -0.042529333382844925, 1.0870293378829956, 0.06521405279636383, -1.7448984384536743, 0.005247820168733597, 0.044069863855838776]"
Normal,29,0.0775032714009285,"[0.03330241143703461, 0.032613784074783325, 0.06286238878965378, 0.0136896762996912, 0.11286111176013947, 0.10257694125175476, 0.12728965282440186, 0.02373000793159008, 0.0998975932598114, 0.09961625188589096, 0.13651321828365326, 0.0850861668586731]",10,0.2694052772258582,0,Ambiguous_Moderate_Error,"[-0.08931629359722137, -0.03421834111213684, -0.047657206654548645, -0.38248345255851746, 0.021856125444173813, 0.19714608788490295, 0.007856298238039017, -0.07468573749065399, 0.012736644595861435, 1.7666739225387573, -0.04487830772995949, 1.208458423614502, 0.06965966522693634, -1.6572352647781372, 0.002843368798494339, 0.047146715223789215]"
